normalized_name,keep_id,drop_id,drop_prices_before,keep_prices_before,keep_prices_after,drop_recipe_links_before,keep_recipe_links_before,keep_recipe_links_after,drop_nutrition_rows_before,keep_nutrition_rows_before,keep_nutrition_rows_after,drop_exists_after,miss_bls_key,miss_default_unit,miss_ingredient_type,miss_initial_recipe_id,miss_tenant_id,miss_nutrition_id
kürbiskernöl,cfb7d5e0-768d-5906-99b8-37f1e5428328,f46b9604-a0dc-58c2-a3b0-489fa4fe9315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lachsschinken,47a32234-fa68-548e-9da7-7d7ba6818c50,897027f9-3c3e-5bdc-8c04-4bd07fa1e88e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leberkäse,fea764ac-6115-57d5-8009-60009244a00b,5ca301e8-c800-58ae-913f-133a9ab14493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lebertran,23d0166f-08c2-500d-9a89-d594c842c707,4751c140-69c6-5057-906e-5a360c230c06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lebkuchen,49457bd5-14c1-52ea-adc0-6c466529d5b3,7607cf2c-41ba-5a9d-80fc-7a6faecc83a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leinöl,db8de774-e65d-5f96-b9cb-302a7aadb294,acee8311-442e-5036-be0c-99c10f1f9bc9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leinsamen,0df1e537-57e9-57d7-82a5-7585e50d14f0,2ab6593a-a542-585a-b617-7621eda2f53f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liebstöckel,2dfe3e0f-0072-5e4b-9e7a-945201584ac8,ad76328d-fdfd-51ee-b890-41cff1bc0597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
limburger,043af7a9-3f32-5d74-b5ea-98599281edd5,5ced7b99-d93c-50d7-8fe5-5d367f65d8be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
limette,f852079f-2514-512b-8860-436b68dc5b42,deb034f1-84f6-5ebf-8f14-db5c50129cf3,1,0,1,0,2,2,1,1,1,0,0,0,0,0,0,0
loganbeere,c4e90b89-9971-5190-8b5a-2134cd95f66d,57e65884-304c-56f4-99a3-7e1e2e9267e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
makronen,e4294bed-c3ed-56cc-be95-d6d5bb4c49de,5d109efd-1c9a-56bf-908d-a86eca2bf1e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malzbier,7e072958-8722-503c-8379-2092e35a67d8,39652d65-1dad-50fd-baa7-3129d4018a3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mandarine,a13f9d89-6124-5a45-b7f1-0d1baa12abf0,886cc342-000a-5cf8-b1b5-05820059d54b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mandelmus,431b1573-f54f-5761-bc9e-dc05da68f73f,f5acc298-9cd9-5be2-b548-76653f845429,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
mango,b10ff7b8-9b0d-53cd-93e2-9cefbd80c8fc,9873e6d1-5c75-5be5-8fdf-2bc94e46f450,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
margarine,158fee4d-42e1-5f47-b819-5de95a8d2176,b9610a92-0c37-5fe9-8a8e-e6959f18b41f,2,0,2,0,3,3,1,1,1,0,0,0,0,0,0,0
marzipan,e2b2e256-68e2-5c40-be02-87ab45bc7fc2,049b737a-163e-5c3c-a87b-35d323e8c036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
