=== Dry-run duplicate merge report (case-insensitive exact-name duplicates) ===
No data is modified. This report recommends keep/drop ids and estimates conflict risk.
 rank |       normalized_name        | group_size |               keep_id                |          keep_name           |               drop_id                |          drop_name           | keep_recipe_refs | drop_recipe_refs | keep_price_rows | drop_price_rows | keep_has_bls | drop_has_bls | keep_has_nutrition | drop_has_nutrition | keep_nutrition_nonzero_fields | drop_nutrition_nonzero_fields | price_conflicts | recipe_conflicts | unit_conflicts | impact_score | risk_score | risk_level 
   20 | kopfsalat                    |          2 | 17b7528c-e633-5de5-ae16-f2a93f9c98e5 | kopfsalat                    | acbf1045-8aa9-5d0b-8360-c2da722bdd2d | Kopfsalat                    |                5 |                0 |               0 |               1 | f            | f            | f                  | t                  |                             0 |                             8 |               0 |                0 |              0 |            8 |          0 | low
   21 | rosinen                      |          2 | 69398596-8689-59af-b6c9-6b1223a5eb68 | rosinen                      | e2ff02a5-2e39-5743-a5d1-e537381fab9e | Rosinen                      |                2 |                0 |               0 |               1 | t            | f            | f                  | t                  |                             0 |                             7 |               0 |                0 |              0 |            8 |          0 | low
   22 | sojabohnen                   |          2 | d8af9e76-f737-517c-bbb9-7091eaf7c79c | sojabohnen                   | b9a8d2f6-6dc9-59d4-8036-a04a82c724eb | Sojabohnen                   |                1 |                0 |               0 |               1 | t            | f            | f                  | t                  |                             0 |                             8 |               0 |                0 |              0 |            8 |          0 | low
   23 | sonnenblumenöl               |          2 | 89916e7f-262b-5c43-a2a6-dcb4c7713959 | sonnenblumenöl               | 8f622f31-ccab-543a-8652-8ce50d1202aa | Sonnenblumenöl               |                4 |                0 |               0 |               1 | t            | f            | f                  | t                  |                             0 |                             6 |               0 |                0 |              0 |            8 |          0 | low
   24 | zimt                         |          2 | e75a9225-4f04-53fc-adbe-71057063f662 | zimt                         | b93438e6-bb2a-51b6-b40d-80b216484ea6 | Zimt                         |                6 |                0 |               0 |               1 | t            | f            | f                  | t                  |                             0 |                             7 |               0 |                0 |              0 |            8 |          0 | low
   25 | zucker                       |          2 | 45b3b564-77d3-5ab5-949e-3dd033c9e60a | zucker                       | 19f2acc9-3f5b-519e-b6b8-492fe19fcc93 | Zucker                       |                9 |                0 |               0 |               0 | t            | t            | t                  | t                  |                             1 |                             1 |               0 |                0 |              0 |            4 |          4 | low
   26 | corned beef                  |          2 | 33bbae22-f2ce-55a1-9bbd-4d2cd61d501b | Corned Beef                  | b3aca472-90e3-5495-bf08-6f71e8ae01f3 | Corned beef                  |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   27 | jagdwurst                    |          2 | 6afea659-2e9d-5035-ab6f-ec9d5d371781 | Jagdwurst                    | 67f49617-301f-5469-a8cd-e8fab613cbe8 | jagdwurst                    |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   28 | kefir                        |          2 | 3228c77f-24d1-586f-9d94-f5d874961788 | Kefir                        | 61e37be6-7e9c-53ff-808d-aeded2132af9 | kefir                        |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   29 | kiwi                         |          2 | 47bd65b9-03bb-5148-868c-83d3cc36c658 | Kiwi                         | 932210f7-8dbf-55c2-a222-2db8c77d65b8 | kiwi                         |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   30 | kumquat                      |          2 | 53589334-a086-5afa-8221-c9f09bce2983 | kumquat                      | 90305933-c11e-5bfb-be5a-c22fecacf4b4 | Kumquat                      |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   31 | limburger                    |          2 | 043af7a9-3f32-5d74-b5ea-98599281edd5 | Limburger                    | 5ced7b99-d93c-50d7-8fe5-5d367f65d8be | limburger                    |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   32 | marzipan                     |          2 | e2b2e256-68e2-5c40-be02-87ab45bc7fc2 | Marzipan                     | 049b737a-163e-5c3c-a87b-35d323e8c036 | marzipan                     |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   33 | mirabelle                    |          2 | 2f8f46cb-dc0b-57ab-af51-dc63ec474337 | Mirabelle                    | 581458fa-33c3-5d3b-93b1-bf551e7499c4 | mirabelle                    |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   34 | nougat                       |          2 | e00a4b76-0c55-5919-8d05-f1364f8fbea6 | Nougat                       | 1971b3c1-4586-57d2-a0c6-19f09ccb2c8e | nougat                       |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   35 | pumpernickel                 |          2 | 3cdcaa0f-c7e8-5430-b89c-f47fc1872c6c | Pumpernickel                 | fac7d24d-f90b-54dc-a99f-f5f658b7ae6b | pumpernickel                 |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   36 | rum                          |          2 | 2528b6b0-8c5e-5593-a099-75d0c809ddde | Rum                          | 64ade59d-ad2d-539a-95cd-2e9a9c1816a0 | rum                          |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   37 | salami (schwein)             |          2 | 00626fe5-b090-5bfd-bcb5-b501503bc19c | Salami (Schwein)             | 305bef45-a437-5070-95b4-ad3c7f6aadb9 | salami (Schwein)             |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   38 | sherry                       |          2 | a2f656bc-6e34-5d56-a0bf-76018a811765 | Sherry                       | 3c12bd08-325e-58b0-8888-29f16f9831fa | sherry                       |                0 |                0 |               0 |               0 | t            | t            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            2 |          0 | low
   39 | hagebutte                    |          2 | 2c83195b-2d77-5754-b6df-d7cd4eeae13f | Hagebutte                    | 5759d1eb-716e-515c-afea-96ab1c76af6a | hagebutte                    |                0 |                0 |               0 |               0 | f            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   40 | haifischöl                   |          2 | dd7ec916-05b1-5f88-81af-32099f71af5d | Haifischöl                   | d1b05eb5-e197-540e-9015-a91dab740ccf | haifischöl                   |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   41 | hartkäse                     |          2 | a7f9d39f-1dfc-52f2-8850-fb49d1a6918c | hartkäse                     | c0789061-800e-567a-acd4-b1e697cba60f | Hartkäse                     |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   42 | haselnussmus                 |          2 | 04bfb90f-d14d-505b-bdbc-b15c0e5ae775 | haselnussmus                 | 86883f40-832f-5161-9225-11d43ead32b5 | Haselnussmus                 |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
   43 | haselnussöl                  |          2 | 523a8d91-307f-5a16-b27a-920eca2c4530 | haselnussöl                  | bc368e55-c646-5136-9202-1eb215366595 | Haselnussöl                  |                0 |                0 |               0 |               0 | t            | f            | f                  | f                  |                             0 |                             0 |               0 |                0 |              0 |            0 |          0 | low
